"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_Inv_spread","R2-multiple","0.00590644252340511","R2-adjusted","-8.20728830803752e-05"
"2","(Intercept)","-6.28329783177296e-05","0.00129964762970041","-0.0483461646694293","0.961498481404776"
"3","VW_diffPosNeg_Inv_spread","0.0491243400781654","0.049464465864924","0.99312383585244","0.322095034865562"
"4","","","","",""
"5","VW_ret_Inv_spread","R2-multiple","0.0188006599705462","R2-adjusted","0.0128898205727784"
"6","(Intercept)","-6.25057474581752e-05","0.00128055404435996","-0.048811487288236","0.961128206194263"
"7","VW_sentClasRel_Inv_spread","0.0609386489051371","0.034168888637762","1.7834542279432","0.076339513064445"
"8","","","","",""
"9","VW_ret_Inv_spread","R2-multiple","0.0132200456717928","R2-adjusted","0.0072755881155987"
"10","(Intercept)","-0.000105174171381468","0.00128953512468832","-0.0815597569759013","0.935095058249546"
"11","VW_diffPosNegRel_Inv_spread","0.0827352602002448","0.0554792108043634","1.49128401433096","0.137784796987119"
"12","","","","",""
"13","VW_ret_Inv_spread","R2-multiple","0.0133618127600824","R2-adjusted","0.00741820922249248"
"14","(Intercept)","-4.79599827338233e-05","0.00128511851264808","-0.0373195018683515","0.970275097558495"
"15","VW_sentClas_Inv_spread","0.0450014571675594","0.0300136491924334","1.49936640090084","0.135678003352373"
"16","","","","",""
"17","VW_ret_Inv_spread","R2-multiple","0.0142109569151683","R2-adjusted","0.00827246870381382"
"18","(Intercept)","-0.00054345680646226","0.0013521298338205","-0.401926496161024","0.688255133430474"
"19","VW_ret_HML_All","0.0506952754292612","0.0327713079388533","1.54694086436377","0.123781835331041"
"20","","","","",""
"21","VW_ret_Inv_spread","R2-multiple","0.0314441301148974","R2-adjusted","0.0197040589647749"
"22","(Intercept)","-0.000696595075743626","0.00134728207098895","-0.517037293632431","0.605822500928303"
"23","VW_ret_HML_All","0.0478785579715066","0.0326233296527189","1.46761714641584","0.144111844980475"
"24","VW_sentClasRel_Inv_spread","0.0584172343769597","0.034094060911013","1.71341379747726","0.088514563971972"
"25","","","","",""
"26","VW_ret_Inv_spread","R2-multiple","0.0744396069838789","R2-adjusted","0.0517264685049555"
"27","(Intercept)","-0.00158555879496216","0.00138289772274639","-1.14654812780607","0.253248723267713"
"28","VW_ret_HML_All","0.0490042905454786","0.0374272295460538","1.30932187981425","0.192267987747529"
"29","VW_ret_Ranks_momentum_spread","-0.011296271684173","0.0123392648854587","-0.915473635506859","0.361295390487207"
"30","VW_ret_HML_spread","-0.141414686107394","0.051687388442664","-2.73596113806878","0.00690944286946917"
"31","VW_ret_OP_Prof_spread","-0.119749932604593","0.0537680425656111","-2.2271581201504","0.0273064450174603"
"32","","","","",""
"33","VW_ret_Inv_spread","R2-multiple","0.0928795930856245","R2-adjusted","0.0648820496623415"
"34","(Intercept)","-0.00171827954880618","0.00137521775179083","-1.24945998302349","0.213299086825498"
"35","VW_ret_HML_All","0.0485038065869724","0.0371677284808711","1.3049978723326","0.193744179487917"
"36","VW_ret_Ranks_momentum_spread","-0.0115396492008172","0.0122541073747845","-0.94169643270489","0.347750224269616"
"37","VW_ret_HML_spread","-0.146739904364578","0.0514114180434801","-2.85422791179336","0.00487831973548565"
"38","VW_ret_OP_Prof_spread","-0.11514202437149","0.0534541163268728","-2.15403475510464","0.032715648054092"
"39","VW_sentClasRel_Inv_spread","0.0606329935415904","0.0334120926581536","1.81470206496611","0.0714195729606159"
"40","","","","",""
"41","VW_ret_Inv_H - VW_ret_HML_All","R2-multiple","0.00182369838757932","R2-adjusted","-0.00418941186309807"
"42","(Intercept)","0.000931300159248273","0.000754671046240701","1.23404781975859","0.218929334107555"
"43","VW_diffPosNeg_Inv_spread","0.0158180271471073","0.0287227086426685","0.550715022872498","0.582569424019959"
"44","","","","",""
"45","VW_ret_Inv_H - VW_ret_HML_All","R2-multiple","0.00707520132645284","R2-adjusted","0.00109372663564833"
"46","(Intercept)","0.000924735762116743","0.000746482341118702","1.23879120935521","0.217171639397056"
"47","VW_sentClasRel_Inv_spread","0.0216629574228253","0.0199183096536073","1.08759015195358","0.278352678847477"
"48","","","","",""
"49","VW_ret_Inv_H - VW_ret_HML_All","R2-multiple","0.00402811398006626","R2-adjusted","-0.00197171665860796"
"50","(Intercept)","0.000918180836884641","0.000750738395483551","1.22303700251436","0.223049155223298"
"51","VW_diffPosNegRel_Inv_spread","0.0264647079724588","0.0322987508479293","0.819372492052751","0.413748760069009"
"52","","","","",""
"53","VW_ret_Inv_H - VW_ret_HML_All","R2-multiple","0.0070369628170824","R2-adjusted","0.00105525777381177"
"54","(Intercept)","0.000917897527807302","0.000747089842930409","1.22863071489088","0.220949261686973"
"55","VW_sentClas_Inv_spread","0.0189246817677012","0.0174481125594708","1.08462630001942","0.279659924248014"
"56","","","","",""
"57","VW_ret_Inv_H","R2-multiple","0.952878547787101","R2-adjusted","0.952594683617144"
"58","(Intercept)","0.000100055719121471","0.00075966663019917","0.131710035881447","0.895373146828052"
"59","VW_ret_HML_All","1.06674819076423","0.0184118924428917","57.9379981755254","4.77237702969367e-112"
"60","","","","",""
"61","VW_ret_Inv_H","R2-multiple","0.953131690708362","R2-adjusted","0.952563589989675"
"62","(Intercept)","5.23608878878608e-05","0.000761593361497241","0.0687517650953822","0.945270460118058"
"63","VW_ret_HML_All","1.06587092563376","0.0184413582192251","57.7978537677659","2.0067540501119e-111"
"64","VW_sentClasRel_Inv_spread","0.0181940160863652","0.0192727350978925","0.944028753259558","0.346535225489449"
"65","","","","",""
"66","VW_ret_Inv_H","R2-multiple","0.957282826520183","R2-adjusted","0.956234552324359"
"67","(Intercept)","-0.000771535259956598","0.00076344235290684","-1.01060054766276","0.313705469251911"
"68","VW_ret_HML_All","1.05146530227464","0.0206620719070081","50.8886672646805","5.77790361816285e-102"
"69","VW_ret_Ranks_momentum_spread","-0.00867168028228519","0.0068120131101141","-1.27299817867496","0.204831307559921"
"70","VW_ret_HML_spread","-0.0725069285163462","0.0285345335372381","-2.54102378865676","0.0119864900732743"
"71","VW_ret_OP_Prof_spread","-0.107589336631945","0.0296831792057359","-3.62458939745765","0.0003864507689852"
"72","","","","",""
"73","VW_ret_Inv_H","R2-multiple","0.957514752259126","R2-adjusted","0.956203479180704"
"74","(Intercept)","-0.00080978428187443","0.000764795622073287","-1.05882442119528","0.291255949330856"
"75","VW_ret_HML_All","1.05132106694336","0.0206699746186103","50.8622330864788","1.61258894466306e-101"
"76","VW_ret_Ranks_momentum_spread","-0.00874181966666037","0.00681483907580955","-1.28276244962129","0.201407599009597"
"77","VW_ret_HML_spread","-0.0740416123087214","0.0285912739222795","-2.58965768751651","0.0104822286330413"
"78","VW_ret_OP_Prof_spread","-0.106261375646956","0.0297272734411346","-3.57454160259172","0.00046256859543207"
"79","VW_sentClasRel_Inv_spread","0.017473926509199","0.0185813644100992","0.94040061448349","0.348412218560226"
"80","","","","",""
"81","VW_ret_Inv_L - VW_ret_HML_All","R2-multiple","0.00806300344226797","R2-adjusted","0.00208747936661891"
"82","(Intercept)","0.000994133137566004","0.0007533528422549","1.31961158411563","0.188781799680729"
"83","VW_diffPosNeg_Inv_spread","-0.0333063129310583","0.0286725379236455","-1.16161021461555","0.247061348028853"
"84","","","","",""
"85","VW_ret_Inv_L - VW_ret_HML_All","R2-multiple","0.0231924344446978","R2-adjusted","0.0173080515196657"
"86","(Intercept)","0.000987241509574919","0.000741426651292417","1.33154305669214","0.184835959747124"
"87","VW_sentClasRel_Inv_spread","-0.0392756914823118","0.0197834092146744","-1.98528428827014","0.0487599198837199"
"88","","","","",""
"89","VW_ret_Inv_L - VW_ret_HML_All","R2-multiple","0.0181603929351755","R2-adjusted","0.0122456965070741"
"90","(Intercept)","0.00102335500826611","0.000746427597100286","1.37100371454864","0.172224499765941"
"91","VW_diffPosNegRel_Inv_spread","-0.0562705522277862","0.0321132889030303","-1.75225130000547","0.0815770425615371"
"92","","","","",""
"93","VW_ret_Inv_L - VW_ret_HML_All","R2-multiple","0.0133238951497222","R2-adjusted","0.00738006319279272"
"94","(Intercept)","0.000965857510541126","0.000745754568028239","1.29514125953641","0.197069835798615"
"95","VW_sentClas_Inv_spread","-0.0260767753998583","0.0174169275192626","-1.49720869946884","0.136237968355109"
"96","","","","",""
"97","VW_ret_Inv_L","R2-multiple","0.944519900131614","R2-adjusted","0.944185682662527"
"98","(Intercept)","0.000643512525583733","0.000788587635764809","0.816031721014272","0.415651409452802"
"99","VW_ret_HML_All","1.01605291533497","0.019112845232769","53.1607357753801","3.68863029051147e-106"
"100","","","","",""
"101","VW_ret_Inv_L","R2-multiple","0.945871745479012","R2-adjusted","0.945215645424212"
"102","(Intercept)","0.000748955963631489","0.000783002497759327","0.95651797506998","0.34020996446349"
"103","VW_ret_HML_All","1.01799236766226","0.0189597628836213","53.6922520556237","2.07652964610022e-106"
"104","VW_sentClasRel_Inv_spread","-0.0402232182905945","0.0198145105816529","-2.02998797900357","0.0439640103439467"
"105","","","","",""
"106","VW_ret_Inv_L","R2-multiple","0.94626788991758","R2-adjusted","0.944949310529054"
"107","(Intercept)","0.000814023535005561","0.000819142714443414","0.993750564648151","0.321817240524213"
"108","VW_ret_HML_All","1.00246101172916","0.0221695660497328","45.2178905748694","3.75388138986261e-94"
"109","VW_ret_Ranks_momentum_spread","0.00262459140188785","0.00730901408416346","0.359089662663886","0.719992740088101"
"110","VW_ret_HML_spread","0.0689077575910482","0.0306163984327997","2.25068137071363","0.0257428390246507"
"111","VW_ret_OP_Prof_spread","0.0121605959726474","0.0318488486986834","0.381822152747082","0.703090591355006"
"112","","","","",""
"113","VW_ret_Inv_L","R2-multiple","0.947813773465961","R2-adjusted","0.946203087461824"
"114","(Intercept)","0.000908495266931756","0.000810908575609351","1.12034240882096","0.264226033415933"
"115","VW_ret_HML_All","1.00281726035638","0.0219162599681468","45.7567697140792","1.47129597688983e-94"
"116","VW_ret_Ranks_momentum_spread","0.00279782953415684","0.00722573624701282","0.387203385027164","0.699113847274237"
"117","VW_ret_HML_spread","0.0726982920558563","0.0303151698859369","2.3980829508589","0.0176182264218525"
"118","VW_ret_OP_Prof_spread","0.00888064872453451","0.0315196639038686","0.281749473967091","0.77849520563922"
"119","VW_sentClasRel_Inv_spread","-0.0431590670323915","0.0197017180953841","-2.19062453454266","0.0299076198363129"
"120","","","","",""
