"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_Inv_spread","R2-multiple","0.0133618127600824","R2-adjusted","0.00741820922249248"
"2","(Intercept)","-4.79599827338233e-05","0.00128511851264808","-0.0373195018683515","0.970275097558495"
"3","VW_sentClas_Inv_spread","0.0450014571675594","0.0300136491924334","1.49936640090084","0.135678003352373"
"4","","","","",""
"5","VW_ret_Inv_spread","R2-multiple","0.00590644252340511","R2-adjusted","-8.20728830803752e-05"
"6","(Intercept)","-6.28329783177296e-05","0.00129964762970041","-0.0483461646694293","0.961498481404776"
"7","VW_diffPosNeg_Inv_spread","0.0491243400781654","0.049464465864924","0.99312383585244","0.322095034865562"
"8","","","","",""
"9","VW_ret_Inv_spread","R2-multiple","0.0188006599705462","R2-adjusted","0.0128898205727784"
"10","(Intercept)","-6.25057474581752e-05","0.00128055404435996","-0.048811487288236","0.961128206194263"
"11","VW_sentClasRel_Inv_spread","0.0609386489051371","0.034168888637762","1.7834542279432","0.076339513064445"
"12","","","","",""
"13","VW_ret_Inv_spread","R2-multiple","0.0132200456717928","R2-adjusted","0.0072755881155987"
"14","(Intercept)","-0.000105174171381468","0.00128953512468832","-0.0815597569759013","0.935095058249546"
"15","VW_diffPosNegRel_Inv_spread","0.0827352602002448","0.0554792108043634","1.49128401433096","0.137784796987119"
"16","","","","",""
"17","VW_ret_Inv_spread","R2-multiple","0.0142109569151683","R2-adjusted","0.00827246870381382"
"18","(Intercept)","-0.00054345680646226","0.0013521298338205","-0.401926496161024","0.688255133430474"
"19","VW_ret_HML_All","0.0506952754292612","0.0327713079388533","1.54694086436377","0.123781835331041"
"20","","","","",""
"21","VW_ret_Inv_spread","R2-multiple","0.0192551068348422","R2-adjusted","0.00736728994799174"
"22","(Intercept)","-0.000707899765762779","0.00136447383483117","-0.518807871350913","0.604589841340878"
"23","VW_ret_HML_All","0.0491938364952015","0.0328267466284427","1.49859006900725","0.135890766035635"
"24","VW_diffPosNeg_Inv_spread","0.0454531193319551","0.049340751027929","0.921208501796551","0.358286526793195"
"25","","","","",""
"26","VW_ret_Inv_spread","R2-multiple","0.0744396069838789","R2-adjusted","0.0517264685049555"
"27","(Intercept)","-0.00158555879496216","0.00138289772274639","-1.14654812780607","0.253248723267713"
"28","VW_ret_HML_All","0.0490042905454786","0.0374272295460538","1.30932187981425","0.192267987747529"
"29","VW_ret_Ranks_momentum_spread","-0.011296271684173","0.0123392648854587","-0.915473635506859","0.361295390487207"
"30","VW_ret_HML_spread","-0.141414686107394","0.051687388442664","-2.73596113806878","0.00690944286946917"
