"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_Inv_spread","R2-multiple","0.0188006599705462","R2-adjusted","0.0128898205727784"
"2","(Intercept)","-6.25057474581752e-05","0.00128055404435996","-0.048811487288236","0.961128206194263"
"3","VW_sentClasRel_Inv_spread","0.0609386489051371","0.034168888637762","1.7834542279432","0.076339513064445"
"4","","","","",""
"5","VW_ret_Inv_spread","R2-multiple","0.0132200456717928","R2-adjusted","0.0072755881155987"
"6","(Intercept)","-0.000105174171381468","0.00128953512468832","-0.0815597569759013","0.935095058249546"
"7","VW_diffPosNegRel_Inv_spread","0.0827352602002448","0.0554792108043634","1.49128401433096","0.137784796987119"
"8","","","","",""
"9","VW_ret_Inv_spread","R2-multiple","0.0133618127600824","R2-adjusted","0.00741820922249248"
"10","(Intercept)","-4.79599827338233e-05","0.00128511851264808","-0.0373195018683515","0.970275097558495"
"11","VW_sentClas_Inv_spread","0.0450014571675594","0.0300136491924334","1.49936640090084","0.135678003352373"
"12","","","","",""
"13","VW_ret_Inv_spread","R2-multiple","0.00590644252340511","R2-adjusted","-8.20728830803752e-05"
"14","(Intercept)","-6.28329783177296e-05","0.00129964762970041","-0.0483461646694293","0.961498481404776"
"15","VW_diffPosNeg_Inv_spread","0.0491243400781654","0.049464465864924","0.99312383585244","0.322095034865562"
"16","","","","",""
"17","VW_ret_Inv_spread","R2-multiple","0.0142109569151683","R2-adjusted","0.00827246870381382"
"18","(Intercept)","-0.00054345680646226","0.0013521298338205","-0.401926496161024","0.688255133430474"
"19","VW_ret_HML_All","0.0506952754292612","0.0327713079388533","1.54694086436377","0.123781835331041"
"20","","","","",""
"21","VW_ret_Inv_spread","R2-multiple","0.0255449802652107","R2-adjusted","0.0137334042684253"
"22","(Intercept)","-0.000722991330330559","0.00135461551663006","-0.533724382641931","0.59425051135538"
"23","VW_ret_HML_All","0.0473409387395176","0.0327705311312007","1.44461920833637","0.150461194071019"
"24","VW_diffPosNegRel_Inv_spread","0.0768165749343025","0.0554500336537611","1.38532963593778","0.167821608818706"
"25","","","","",""
"26","VW_ret_Inv_spread","R2-multiple","0.0744396069838789","R2-adjusted","0.0517264685049555"
"27","(Intercept)","-0.00158555879496216","0.00138289772274639","-1.14654812780607","0.253248723267713"
"28","VW_ret_HML_All","0.0490042905454786","0.0374272295460538","1.30932187981425","0.192267987747529"
"29","VW_ret_Ranks_momentum_spread","-0.011296271684173","0.0123392648854587","-0.915473635506859","0.361295390487207"
"30","VW_ret_HML_spread","-0.141414686107394","0.051687388442664","-2.73596113806878","0.00690944286946917"
"31","VW_ret_OP_Prof_spread","-0.119749932604593","0.0537680425656111","-2.2271581201504","0.0273064450174603"
"32","","","","",""
"33","VW_ret_Inv_spread","R2-multiple","0.0885596819200757","R2-adjusted","0.0604288079052633"
"34","(Intercept)","-0.00177520437731247","0.00138173311636915","-1.28476646921314","0.200707898372525"
"35","VW_ret_HML_All","0.0475853288857346","0.0372658638451126","1.27691468748752","0.203459598428993"
"36","VW_ret_Ranks_momentum_spread","-0.0118196331472754","0.0122869575088295","-0.96196581934802","0.337500426160258"
"37","VW_ret_HML_spread","-0.148843313712951","0.0516629197085764","-2.88104726857398","0.0045005558908448"
