"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_OP_Prof_spread","R2-multiple","0.00436181056212115","R2-adjusted","-0.0016360098561794"
"2","(Intercept)","-0.00813864992663854","0.00344283459331115","-2.36393869820251","0.0192383328026675"
"3","VW_diffPosNegRel_OP_Prof_spread","0.0524696996884253","0.0615278738303498","0.85277934084151","0.395010427654405"
"4","","","","",""
"5","VW_ret_OP_Prof_spread","R2-multiple","0.0053888893098689","R2-adjusted","-0.00060274388705972"
"6","(Intercept)","-0.00767008037601999","0.00361644198785283","-2.1208913074737","0.0354161978954393"
"7","VW_sentClasRel_OP_Prof_spread","0.0421615065294319","0.0444568920768901","0.948368285765721","0.344320578834882"
"8","","","","",""
"9","VW_ret_OP_Prof_spread","R2-multiple","0.00436181056212115","R2-adjusted","-0.0016360098561794"
"10","(Intercept)","-0.00813864992663854","0.00344283459331115","-2.36393869820251","0.0192383328026675"
"11","VW_diffPosNegRel_OP_Prof_spread","0.0524696996884253","0.0615278738303498","0.85277934084151","0.395010427654405"
"12","","","","",""
"13","VW_ret_OP_Prof_spread","R2-multiple","0.00212546307256619","R2-adjusted","-0.00388582931856307"
"14","(Intercept)","-0.00868294364928279","0.00369638935231827","-2.34903383320188","0.0199993449765656"
"15","VW_sentClas_OP_Prof_spread","0.0212357227750624","0.0357128238354805","0.594624577235609","0.552904054092431"
"16","","","","",""
"17","VW_ret_OP_Prof_spread","R2-multiple","0.148915809141664","R2-adjusted","0.143788795943722"
"18","(Intercept)","-0.00712354765043787","0.00194622975326571","-3.66017816677851","0.000338337849315063"
"19","VW_ret_HML_All","-0.254218804641689","0.0471703921980737","-5.38937229044431","2.39210290484379e-07"
"20","","","","",""
"21","VW_ret_OP_Prof_spread","R2-multiple","0.164414534826601","R2-adjusted","0.154286226157833"
"22","(Intercept)","-0.00208125466945233","0.00347113932015932","-0.599588341892541","0.549603076962694"
"23","VW_ret_HML_All","-0.264942914294408","0.0472794256278681","-5.60376761722421","8.62472149744498e-08"
"24","VW_sentClasRel_OP_Prof_spread","0.0721100739898629","0.0412193758834625","1.74942178148782","0.0820774000805131"
"25","","","","",""
"26","VW_ret_OP_Prof_spread","R2-multiple","0.205695629192928","R2-adjusted","0.186203497393982"
"27","(Intercept)","-0.00757670235113843","0.00190211072430182","-3.98331298716561","0.000102221045926603"
"28","VW_ret_HML_All","-0.214067093340206","0.0513228884127105","-4.17098686299173","4.91734120765509e-05"
"29","VW_ret_Ranks_momentum_spread","-0.0317671578850494","0.0175779201887312","-1.8072193720287","0.072572146339723"
"30","VW_ret_HML_spread","-0.20593135925071","0.074124325013488","-2.77818866091851","0.00610801189286465"
"31","VW_ret_Inv_spread","-0.246615492710783","0.110731021062002","-2.22715812015039","0.0273064450174604"
"32","","","","",""
"33","VW_ret_OP_Prof_spread","R2-multiple","0.221549248627781","R2-adjusted","0.197522990869379"
"34","(Intercept)","-0.00243821874132075","0.00340158630491017","-0.716788734068336","0.474536594115304"
"35","VW_ret_HML_All","-0.228933565787397","0.0516177270937495","-4.43517331500477","1.69149155342366e-05"
"36","VW_ret_Ranks_momentum_spread","-0.03525826848289","0.0175607412133183","-2.00778930994949","0.0463278778005045"
"37","VW_ret_HML_spread","-0.205343983960987","0.0736077143985484","-2.78970737834833","0.00590856470942566"
"38","VW_ret_Inv_spread","-0.236238815130807","0.110106522717401","-2.1455478685594","0.0333986075353263"
"39","VW_sentClasRel_OP_Prof_spread","0.0735385728218862","0.0404863892826279","1.81637765493305","0.0711610549849863"
"40","","","","",""
"41","VW_ret_OP_Prof_H - VW_ret_HML_All","R2-multiple","7.15697583787207e-07","R2-adjusted","-0.00602337637652717"
"42","(Intercept)","-0.00148924210347704","0.000604498183451666","-2.46360062651225","0.0147747373392545"
"43","VW_diffPosNegRel_OP_Prof_spread","0.000117752388396461","0.0108031585468412","0.0108998111881725","0.991316469555937"
"44","","","","",""
"45","VW_ret_OP_Prof_H - VW_ret_HML_All","R2-multiple","9.9760493039823e-05","R2-adjusted","-0.00592373492567688"
"46","(Intercept)","-0.00142634706680169","0.000635276743156444","-2.24523734288575","0.0260731108506352"
"47","VW_sentClasRel_OP_Prof_spread","0.00100502196478527","0.00780945186023362","0.128693022605456","0.897756343611454"
"48","","","","",""
"49","VW_ret_OP_Prof_H - VW_ret_HML_All","R2-multiple","7.15697583787207e-07","R2-adjusted","-0.00602337637652717"
"50","(Intercept)","-0.00148924210347704","0.000604498183451666","-2.46360062651225","0.0147747373392545"
"51","VW_diffPosNegRel_OP_Prof_spread","0.000117752388396461","0.0108031585468412","0.0108998111881725","0.991316469555937"
"52","","","","",""
"53","VW_ret_OP_Prof_H - VW_ret_HML_All","R2-multiple","0.000164146236607536","R2-adjusted","-0.00585896131618413"
"54","(Intercept)","-0.00158474642329935","0.00064823707164414","-2.44470193486454","0.0155426813926999"
"55","VW_sentClas_OP_Prof_spread","-0.00103391658250908","0.00626297019515427","-0.165084065593835","0.869078678090819"
"56","","","","",""
"57","VW_ret_OP_Prof_H","R2-multiple","0.988200598271597","R2-adjusted","0.988129517538294"
"58","(Intercept)","-0.000816110420161116","0.000332229807517688","-2.45646357338863","0.0150606929762336"
"59","VW_ret_HML_All","0.949424819381102","0.00805218926193261","117.908905081204","5.7300381833279e-162"
"60","","","","",""
"61","VW_ret_OP_Prof_H","R2-multiple","0.988266883439719","R2-adjusted","0.988124663845048"
"62","(Intercept)","-0.000338043144415548","0.000596326424332511","-0.566876010557358","0.571568769102669"
"63","VW_ret_HML_All","0.948408050640015","0.00812239677774368","116.764555659084","1.58568909005256e-160"
"64","VW_sentClasRel_OP_Prof_spread","0.00683686306133822","0.00708130696196738","0.965480397624051","0.335717188135881"
"65","","","","",""
"66","VW_ret_OP_Prof_H","R2-multiple","0.988792423569545","R2-adjusted","0.988517391019105"
"67","(Intercept)","-0.000880355874954517","0.000327566083016701","-2.68756724398","0.00794429455713886"
"68","VW_ret_HML_All","0.954944252508285","0.00883841161908466","108.044781535891","1.32807419946079e-153"
"69","VW_ret_Ranks_momentum_spread","-0.00409638089414482","0.00302712685977643","-1.35322405828983","0.177857827895414"
