"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_OP_Prof_spread","R2-multiple","0.00212546307256619","R2-adjusted","-0.00388582931856307"
"2","(Intercept)","-0.00868294364928279","0.00369638935231827","-2.34903383320188","0.0199993449765656"
"3","VW_sentClas_OP_Prof_spread","0.0212357227750624","0.0357128238354805","0.594624577235609","0.552904054092431"
"4","","","","",""
"5","VW_ret_OP_Prof_spread","R2-multiple","0.00209945334340667","R2-adjusted","-0.00391199573283796"
"6","(Intercept)","-0.00892575028338027","0.00337320920258305","-2.64607077335889","0.00892637031525428"
"7","VW_diffPosNeg_OP_Prof_spread","0.0286841028251257","0.0485375379462699","0.590967404586497","0.555346054283143"
"8","","","","",""
"9","VW_ret_OP_Prof_spread","R2-multiple","0.0053888893098689","R2-adjusted","-0.00060274388705972"
"10","(Intercept)","-0.00767008037601999","0.00361644198785283","-2.1208913074737","0.0354161978954393"
"11","VW_sentClasRel_OP_Prof_spread","0.0421615065294319","0.0444568920768901","0.948368285765721","0.344320578834882"
"12","","","","",""
"13","VW_ret_OP_Prof_spread","R2-multiple","0.00436181056212115","R2-adjusted","-0.0016360098561794"
"14","(Intercept)","-0.00813864992663854","0.00344283459331115","-2.36393869820251","0.0192383328026675"
"15","VW_diffPosNegRel_OP_Prof_spread","0.0524696996884253","0.0615278738303498","0.85277934084151","0.395010427654405"
"16","","","","",""
"17","VW_ret_OP_Prof_spread","R2-multiple","0.148915809141664","R2-adjusted","0.143788795943722"
"18","(Intercept)","-0.00712354765043787","0.00194622975326571","-3.66017816677851","0.000338337849315063"
"19","VW_ret_HML_All","-0.254218804641689","0.0471703921980737","-5.38937229044431","2.39210290484379e-07"
"20","","","","",""
"21","VW_ret_OP_Prof_spread","R2-multiple","0.160112242512862","R2-adjusted","0.149931784846351"
"22","(Intercept)","-0.00322142848512504","0.00326849592174499","-0.985599664877407","0.32577265412353"
"23","VW_ret_HML_All","-0.264958182451299","0.0475554033671746","-5.57156839582584","1.00789677908804e-07"
"24","VW_diffPosNeg_OP_Prof_spread","0.0670227053081654","0.0451908756979435","1.48310260142216","0.139954708754073"
"25","","","","",""
"26","VW_ret_OP_Prof_spread","R2-multiple","0.205695629192928","R2-adjusted","0.186203497393982"
"27","(Intercept)","-0.00757670235113843","0.00190211072430182","-3.98331298716561","0.000102221045926603"
"28","VW_ret_HML_All","-0.214067093340206","0.0513228884127105","-4.17098686299173","4.91734120765509e-05"
"29","VW_ret_Ranks_momentum_spread","-0.0317671578850494","0.0175779201887312","-1.8072193720287","0.072572146339723"
"30","VW_ret_HML_spread","-0.20593135925071","0.074124325013488","-2.77818866091851","0.00610801189286465"
"31","VW_ret_Inv_spread","-0.246615492710783","0.110731021062002","-2.22715812015039","0.0273064450174604"
"32","","","","",""
"33","VW_ret_OP_Prof_spread","R2-multiple","0.218017936073408","R2-adjusted","0.193882687186785"
"34","(Intercept)","-0.00343749861232369","0.00320865125278829","-1.07132197970612","0.285618132592123"
"35","VW_ret_HML_All","-0.228569527760919","0.0518803706856166","-4.40570344313844","1.91029771979251e-05"
"36","VW_ret_Ranks_momentum_spread","-0.0355104979579377","0.0176509723386217","-2.01181539898729","0.0458969160069292"
"37","VW_ret_HML_spread","-0.209989717628648","0.0738174830652223","-2.84471522068978","0.00501911927150712"
"38","VW_ret_Inv_spread","-0.231986670682136","0.110587022185768","-2.09777482110365","0.0374770883739492"
"39","VW_diffPosNeg_OP_Prof_spread","0.0712195109163687","0.0445752579837523","1.59773637075366","0.112050360595541"
"40","","","","",""
"41","VW_ret_OP_Prof_H - VW_ret_HML_All","R2-multiple","0.000164146236607536","R2-adjusted","-0.00585896131618413"
"42","(Intercept)","-0.00158474642329935","0.00064823707164414","-2.44470193486454","0.0155426813926999"
"43","VW_sentClas_OP_Prof_spread","-0.00103391658250908","0.00626297019515427","-0.165084065593835","0.869078678090819"
"44","","","","",""
"45","VW_ret_OP_Prof_H - VW_ret_HML_All","R2-multiple","0.000272991593500469","R2-adjusted","-0.00574946026437018"
"46","(Intercept)","-0.00159622697472507","0.00059152094819314","-2.698513010572","0.00768513112725969"
"47","VW_diffPosNeg_OP_Prof_spread","-0.00181214341100482","0.00851147045577621","-0.21290603314907","0.831661490328491"
"48","","","","",""
"49","VW_ret_OP_Prof_H - VW_ret_HML_All","R2-multiple","9.9760493039823e-05","R2-adjusted","-0.00592373492567688"
"50","(Intercept)","-0.00142634706680169","0.000635276743156444","-2.24523734288575","0.0260731108506352"
"51","VW_sentClasRel_OP_Prof_spread","0.00100502196478527","0.00780945186023362","0.128693022605456","0.897756343611454"
"52","","","","",""
"53","VW_ret_OP_Prof_H - VW_ret_HML_All","R2-multiple","7.15697583787207e-07","R2-adjusted","-0.00602337637652717"
"54","(Intercept)","-0.00148924210347704","0.000604498183451666","-2.46360062651225","0.0147747373392545"
"55","VW_diffPosNegRel_OP_Prof_spread","0.000117752388396461","0.0108031585468412","0.0108998111881725","0.991316469555937"
"56","","","","",""
"57","VW_ret_OP_Prof_H","R2-multiple","0.988200598271597","R2-adjusted","0.988129517538294"
"58","(Intercept)","-0.000816110420161116","0.000332229807517688","-2.45646357338863","0.0150606929762336"
"59","VW_ret_HML_All","0.949424819381102","0.00805218926193261","117.908905081204","5.7300381833279e-162"
"60","","","","",""
"61","VW_ret_OP_Prof_H","R2-multiple","0.98823827476178","R2-adjusted","0.988095708395256"
"62","(Intercept)","-0.000487942101350453","0.000560755564351279","-0.870151153854245","0.385481938971484"
"63","VW_ret_HML_All","0.94852163744033","0.00815878547551488","116.257700400006","3.22278834540521e-160"
"64","VW_diffPosNeg_OP_Prof_spread","0.00563661118262128","0.00775311813514506","0.727012162638202","0.468248722462216"
"65","","","","",""
"66","VW_ret_OP_Prof_H","R2-multiple","0.988792423569545","R2-adjusted","0.988517391019105"
"67","(Intercept)","-0.000880355874954517","0.000327566083016701","-2.68756724398","0.00794429455713886"
"68","VW_ret_HML_All","0.954944252508285","0.00883841161908466","108.044781535891","1.32807419946079e-153"
"69","VW_ret_Ranks_momentum_spread","-0.00409638089414482","0.00302712685977643","-1.35322405828983","0.177857827895414"
"70","VW_ret_HML_spread","-0.0254047539541852","0.0127650901131623","-1.9901742744448","0.0482437343485924"
"71","VW_ret_Inv_spread","-0.0448396043108996","0.0190691984300932","-2.35141526662903","0.0198978196780272"
"72","","","","",""
"73","VW_ret_OP_Prof_H","R2-multiple","0.988828953425679","R2-adjusted","0.988484168037582"
"74","(Intercept)","-0.00055362097242403","0.000555996178431494","-0.995728017386441","0.320867274333783"
"75","VW_ret_HML_All","0.953799478828151","0.0089898482459712","106.097394831509","1.26904027416347e-151"
"76","VW_ret_Ranks_momentum_spread","-0.00439186764257047","0.00305856647940329","-1.43592355181611","0.152952238082205"
"77","VW_ret_HML_spread","-0.0257251071942576","0.0127911185268358","-2.01116947984544","0.0459658262757294"
"78","VW_ret_Inv_spread","-0.0436848540156087","0.0191625567490313","-2.27969861160709","0.0239302146802954"
"79","VW_diffPosNeg_OP_Prof_spread","0.00562183004893398","0.00772401583688081","0.727837716501141","0.467763590513209"
"80","","","","",""
"81","VW_ret_OP_Prof_L - VW_ret_HML_All","R2-multiple","0.0033275689869105","R2-adjusted","-0.00267648180232505"
"82","(Intercept)","0.00709819722598343","0.00309617391711161","2.29257057775529","0.0231279621525463"
"83","VW_sentClas_OP_Prof_spread","-0.0222696393575715","0.0299138167348275","-0.744459978309749","0.457650829575644"
"84","","","","",""
"85","VW_ret_OP_Prof_L - VW_ret_HML_All","R2-multiple","0.00337829591357036","R2-adjusted","-0.00262544929176967"
"86","(Intercept)","0.00732952330865518","0.00282536266154996","2.59418849424246","0.0103293199489676"
"87","VW_diffPosNeg_OP_Prof_spread","-0.0304962462361306","0.0406545041119723","-0.750132043232814","0.454237053637156"
"88","","","","",""
"89","VW_ret_OP_Prof_L - VW_ret_HML_All","R2-multiple","0.00731012486783339","R2-adjusted","0.00133006537908531"
"90","(Intercept)","0.00624373330921828","0.00302810569987417","2.06192713466961","0.0407732983656814"
