"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_OP_Prof_spread","R2-multiple","0.0053888893098689","R2-adjusted","-0.00060274388705972"
"2","(Intercept)","-0.00767008037601999","0.00361644198785283","-2.1208913074737","0.0354161978954393"
"3","VW_sentClasRel_OP_Prof_spread","0.0421615065294319","0.0444568920768901","0.948368285765721","0.344320578834882"
"4","","","","",""
"5","VW_ret_OP_Prof_spread","R2-multiple","0.00436181056212115","R2-adjusted","-0.0016360098561794"
"6","(Intercept)","-0.00813864992663854","0.00344283459331115","-2.36393869820251","0.0192383328026675"
"7","VW_diffPosNegRel_OP_Prof_spread","0.0524696996884253","0.0615278738303498","0.85277934084151","0.395010427654405"
"8","","","","",""
"9","VW_ret_OP_Prof_spread","R2-multiple","0.00212546307256619","R2-adjusted","-0.00388582931856307"
"10","(Intercept)","-0.00868294364928279","0.00369638935231827","-2.34903383320188","0.0199993449765656"
"11","VW_sentClas_OP_Prof_spread","0.0212357227750624","0.0357128238354805","0.594624577235609","0.552904054092431"
"12","","","","",""
"13","VW_ret_OP_Prof_spread","R2-multiple","0.00209945334340667","R2-adjusted","-0.00391199573283796"
"14","(Intercept)","-0.00892575028338027","0.00337320920258305","-2.64607077335889","0.00892637031525428"
"15","VW_diffPosNeg_OP_Prof_spread","0.0286841028251257","0.0485375379462699","0.590967404586497","0.555346054283143"
"16","","","","",""
"17","VW_ret_OP_Prof_spread","R2-multiple","0.148915809141664","R2-adjusted","0.143788795943722"
"18","(Intercept)","-0.00712354765043787","0.00194622975326571","-3.66017816677851","0.000338337849315063"
"19","VW_ret_HML_All","-0.254218804641689","0.0471703921980737","-5.38937229044431","2.39210290484379e-07"
"20","","","","",""
"21","VW_ret_OP_Prof_spread","R2-multiple","0.162728767314107","R2-adjusted","0.152580025099733"
"22","(Intercept)","-0.00268674378293125","0.00331369055628916","-0.810801050155993","0.418647879855119"
"23","VW_ret_HML_All","-0.264433662673792","0.0473342573494761","-5.58651761918304","9.37623861215647e-08"
"24","VW_diffPosNegRel_OP_Prof_spread","0.0941815236995196","0.0570838789812082","1.64987953482495","0.100869960995328"
"25","","","","",""
"26","VW_ret_OP_Prof_spread","R2-multiple","0.205695629192928","R2-adjusted","0.186203497393982"
"27","(Intercept)","-0.00757670235113843","0.00190211072430182","-3.98331298716561","0.000102221045926603"
"28","VW_ret_HML_All","-0.214067093340206","0.0513228884127105","-4.17098686299173","4.91734120765509e-05"
"29","VW_ret_Ranks_momentum_spread","-0.0317671578850494","0.0175779201887312","-1.8072193720287","0.072572146339723"
