"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_Ranks_beme_spread","R2-multiple","0.0330974440023943","R2-adjusted","0.0272727298096376"
"2","(Intercept)","0.0206352653743371","0.00635467284502064","3.24725849427582","0.00140995575357067"
"3","VW_diffPosNegRel_Ranks_beme_spread","0.27398943783627","0.114940717385438","2.3837456740198","0.0182666034199603"
"4","","","","",""
"5","VW_ret_Ranks_beme_spread","R2-multiple","0.0304772007726365","R2-adjusted","0.0246367019821101"
"6","(Intercept)","0.0187959153565016","0.00592573531860649","3.17191274093587","0.00180429402451347"
"7","VW_sentClasRel_Ranks_beme_spread","0.149987012583413","0.0656585195508214","2.28434959559695","0.0236175482269114"
"8","","","","",""
"9","VW_ret_Ranks_beme_spread","R2-multiple","0.0330974440023943","R2-adjusted","0.0272727298096376"
"10","(Intercept)","0.0206352653743371","0.00635467284502064","3.24725849427582","0.00140995575357067"
"11","VW_diffPosNegRel_Ranks_beme_spread","0.27398943783627","0.114940717385438","2.3837456740198","0.0182666034199603"
"12","","","","",""
"13","VW_ret_Ranks_beme_spread","R2-multiple","0.0523236327302234","R2-adjusted","0.0466147389514897"
"14","(Intercept)","0.0208239933774745","0.005654116122102","3.68297943087396","0.000311550337617497"
"15","VW_sentClas_Ranks_beme_spread","0.134873668728477","0.0445506667319837","3.02742200335353","0.00286031187196136"
"16","","","","",""
"17","VW_ret_Ranks_beme_spread","R2-multiple","0.142308425895574","R2-adjusted","0.137141609184102"
"18","(Intercept)","0.00214470352869701","0.00421957399376719","0.508274895016653","0.611935352146155"
"19","VW_ret_HML_All","0.536719984382574","0.102268994634785","5.24812027632875","4.64201458439643e-07"
"20","","","","",""
"21","VW_ret_Ranks_beme_spread","R2-multiple","0.169601745577147","R2-adjusted","0.159536312190203"
"22","(Intercept)","0.0111696922261819","0.00568872948683086","1.9634774780624","0.0512713867499502"
"23","VW_ret_HML_All","0.530847570822721","0.10096461599447","5.25775852851059","4.46544853868441e-07"
