"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_Ranks_beme_spread","R2-multiple","0.0523236327302234","R2-adjusted","0.0466147389514897"
"2","(Intercept)","0.0208239933774745","0.005654116122102","3.68297943087396","0.000311550337617497"
"3","VW_sentClas_Ranks_beme_spread","0.134873668728477","0.0445506667319837","3.02742200335353","0.00286031187196136"
"4","","","","",""
"5","VW_ret_Ranks_beme_spread","R2-multiple","0.0575589059244724","R2-adjusted","0.0518815499360654"
"6","(Intercept)","0.022956372260636","0.00598073362571615","3.83838734464405","0.000175800651526854"
"7","VW_diffPosNeg_Ranks_beme_spread","0.243603491860128","0.0765068475800599","3.18407436151661","0.00173439161254676"
"8","","","","",""
"9","VW_ret_Ranks_beme_spread","R2-multiple","0.0304772007726365","R2-adjusted","0.0246367019821101"
"10","(Intercept)","0.0187959153565016","0.00592573531860649","3.17191274093587","0.00180429402451347"
"11","VW_sentClasRel_Ranks_beme_spread","0.149987012583413","0.0656585195508214","2.28434959559695","0.0236175482269114"
"12","","","","",""
"13","VW_ret_Ranks_beme_spread","R2-multiple","0.0330974440023943","R2-adjusted","0.0272727298096376"
"14","(Intercept)","0.0206352653743371","0.00635467284502064","3.24725849427582","0.00140995575357067"
"15","VW_diffPosNegRel_Ranks_beme_spread","0.27398943783627","0.114940717385438","2.3837456740198","0.0182666034199603"
"16","","","","",""
"17","VW_ret_Ranks_beme_spread","R2-multiple","0.142308425895574","R2-adjusted","0.137141609184102"
"18","(Intercept)","0.00214470352869701","0.00421957399376719","0.508274895016653","0.611935352146155"
"19","VW_ret_HML_All","0.536719984382574","0.102268994634785","5.24812027632875","4.64201458439643e-07"
"20","","","","",""
"21","VW_ret_Ranks_beme_spread","R2-multiple","0.19710173678851","R2-adjusted","0.187369636628371"
"22","(Intercept)","0.0154958668387832","0.00570951804869597","2.7140411338786","0.00735314993002594"
"23","VW_ret_HML_All","0.531543339620425","0.0992597559943163","5.3550740105674","2.83119173270208e-07"
"24","VW_diffPosNeg_Ranks_beme_spread","0.237707822202159","0.07083827688081","3.35564094256721","0.000982660886100984"
"25","","","","",""
"26","VW_ret_Ranks_beme_spread","R2-multiple","0.322570455278075","R2-adjusted","0.305946417370789"
"27","(Intercept)","-0.00190987362890515","0.00394657538847984","-0.48393187533681","0.629083743589557"
"28","VW_ret_HML_All","0.349050454766048","0.105014739188532","3.32382346957412","0.00109658362038125"
"29","VW_ret_Ranks_momentum_spread","-0.138440887765012","0.0329332079505107","-4.20368668527676","4.3180031290997e-05"
"30","VW_ret_Inv_spread","-1.0188518716525","0.219211137944162","-4.64781069615189","6.88721085274919e-06"
"31","VW_ret_OP_Prof_spread","-0.43585345502001","0.152648907426626","-2.85526743930029","0.00485959639523799"
"32","","","","",""
"33","VW_ret_Ranks_beme_spread","R2-multiple","0.356900634357326","R2-adjusted","0.337051888504157"
"34","(Intercept)","0.00900729185123519","0.005353432273956","1.68252653443566","0.0943931845559018"
"35","VW_ret_HML_All","0.363553746213352","0.102752962594679","3.53813395772763","0.000525946808022226"
"36","VW_ret_Ranks_momentum_spread","-0.124451597445503","0.0325364012151825","-3.82499578310553","0.000186310881967968"
"37","VW_ret_Inv_spread","-1.00689775092943","0.214281188074228","-4.69895542384542","5.55285653472097e-06"
"38","VW_ret_OP_Prof_spread","-0.411191873782231","0.149424572375438","-2.75183570710905","0.00660184695312735"
"39","VW_diffPosNeg_Ranks_beme_spread","0.190416224655444","0.0647511444983142","2.94073913489517","0.0037539203811272"
"40","","","","",""
"41","VW_ret_Ranks_beme_10 - VW_ret_HML_All","R2-multiple","0.0423762881743569","R2-adjusted","0.0366074706332385"
"42","(Intercept)","0.0182403168209202","0.0050305418770881","3.625914914653","0.000382710958755264"
"43","VW_sentClas_Ranks_beme_spread","0.107429191695952","0.0396373172760594","2.71030430610999","0.00742849682676441"
"44","","","","",""
"45","VW_ret_Ranks_beme_10 - VW_ret_HML_All","R2-multiple","0.0459934440597669","R2-adjusted","0.0402464166143437"
"46","(Intercept)","0.019866124228474","0.00532580985373886","3.73016025244076","0.000262351192872283"
"47","VW_diffPosNeg_Ranks_beme_spread","0.192733777982153","0.0681289199987717","2.82895689503999","0.00524591483888619"
"48","","","","",""
"49","VW_ret_Ranks_beme_10 - VW_ret_HML_All","R2-multiple","0.0251874317940511","R2-adjusted","0.0193150669253406"
"50","(Intercept)","0.0167014287429352","0.00525903935377865","3.17575656301851","0.00178192307517643"
"51","VW_sentClasRel_Ranks_beme_spread","0.120681496077455","0.0582713738739543","2.07102541186859","0.0399039939652066"
"52","","","","",""
"53","VW_ret_Ranks_beme_10 - VW_ret_HML_All","R2-multiple","0.0263518496343113","R2-adjusted","0.0204864993309035"
"54","(Intercept)","0.0180136173035091","0.00564398029774612","3.19165134412371","0.00169212005910645"
"55","VW_diffPosNegRel_Ranks_beme_spread","0.216383813211743","0.102086001931718","2.11962276039054","0.0355247382677757"
"56","","","","",""
"57","VW_ret_Ranks_beme_10","R2-multiple","0.637136287033969","R2-adjusted","0.634950361052246"
"58","(Intercept)","0.00212345178484553","0.00367298365000349","0.578127208609685","0.563961687463314"
"59","VW_ret_HML_All","1.51982232203244","0.0890213907258682","17.0725519972224","2.22008429084644e-38"
"60","","","","",""
"61","VW_ret_Ranks_beme_10","R2-multiple","0.656072674773385","R2-adjusted","0.651903858710032"
"62","(Intercept)","0.0126272917205266","0.00500088332121611","2.52501226472445","0.012512777215682"
"63","VW_ret_HML_All","1.51574966958091","0.0869401679767575","17.4344000575906","2.8783984450352e-39"
"64","VW_diffPosNeg_Ranks_beme_spread","0.187013285500341","0.0620462102642518","3.01409682724956","0.00298460134633738"
