"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_Ranks_beme_spread","R2-multiple","0.0304772007726365","R2-adjusted","0.0246367019821101"
"2","(Intercept)","0.0187959153565016","0.00592573531860649","3.17191274093587","0.00180429402451347"
"3","VW_sentClasRel_Ranks_beme_spread","0.149987012583413","0.0656585195508214","2.28434959559695","0.0236175482269114"
"4","","","","",""
"5","VW_ret_Ranks_beme_spread","R2-multiple","0.0330974440023943","R2-adjusted","0.0272727298096376"
"6","(Intercept)","0.0206352653743371","0.00635467284502064","3.24725849427582","0.00140995575357067"
"7","VW_diffPosNegRel_Ranks_beme_spread","0.27398943783627","0.114940717385438","2.3837456740198","0.0182666034199603"
"8","","","","",""
"9","VW_ret_Ranks_beme_spread","R2-multiple","0.0523236327302234","R2-adjusted","0.0466147389514897"
"10","(Intercept)","0.0208239933774745","0.005654116122102","3.68297943087396","0.000311550337617497"
"11","VW_sentClas_Ranks_beme_spread","0.134873668728477","0.0445506667319837","3.02742200335353","0.00286031187196136"
"12","","","","",""
"13","VW_ret_Ranks_beme_spread","R2-multiple","0.0575589059244724","R2-adjusted","0.0518815499360654"
"14","(Intercept)","0.022956372260636","0.00598073362571615","3.83838734464405","0.000175800651526854"
"15","VW_diffPosNeg_Ranks_beme_spread","0.243603491860128","0.0765068475800599","3.18407436151661","0.00173439161254676"
"16","","","","",""
"17","VW_ret_Ranks_beme_spread","R2-multiple","0.142308425895574","R2-adjusted","0.137141609184102"
"18","(Intercept)","0.00214470352869701","0.00421957399376719","0.508274895016653","0.611935352146155"
"19","VW_ret_HML_All","0.536719984382574","0.102268994634785","5.24812027632875","4.64201458439643e-07"
"20","","","","",""
"21","VW_ret_Ranks_beme_spread","R2-multiple","0.171718724461057","R2-adjusted","0.161678951424221"
"22","(Intercept)","0.0128825567179074","0.00608100971908862","2.11848974315373","0.0356309860944516"
"23","VW_ret_HML_All","0.529926550796808","0.100843445578326","5.25494292423009","4.524344233133e-07"
"24","VW_diffPosNegRel_Ranks_beme_spread","0.258377432004192","0.106746049270893","2.42048706972282","0.0165849434192699"
"25","","","","",""
"26","VW_ret_Ranks_beme_spread","R2-multiple","0.322570455278075","R2-adjusted","0.305946417370789"
"27","(Intercept)","-0.00190987362890515","0.00394657538847984","-0.48393187533681","0.629083743589557"
"28","VW_ret_HML_All","0.349050454766048","0.105014739188532","3.32382346957412","0.00109658362038125"
"29","VW_ret_Ranks_momentum_spread","-0.138440887765012","0.0329332079505107","-4.20368668527676","4.3180031290997e-05"
"30","VW_ret_Inv_spread","-1.0188518716525","0.219211137944162","-4.64781069615189","6.88721085274919e-06"
"31","VW_ret_OP_Prof_spread","-0.43585345502001","0.152648907426626","-2.85526743930029","0.00485959639523799"
"32","","","","",""
"33","VW_ret_Ranks_beme_spread","R2-multiple","0.33945609478664","R2-adjusted","0.319068937218326"
"34","(Intercept)","0.00632839399146889","0.00562756936910535","1.12453415966953","0.262449944466285"
"35","VW_ret_HML_All","0.350129476771318","0.104018592646002","3.36602782122697","0.000952379279909784"
"36","VW_ret_Ranks_momentum_spread","-0.131034041975865","0.032822815322977","-3.99216339873616","9.90441452203445e-05"
"37","VW_ret_Inv_spread","-0.999092309857781","0.217345928364313","-4.59678410990572","8.59383009612512e-06"
"38","VW_ret_OP_Prof_spread","-0.434320529799348","0.151200825715876","-2.87247458962616","0.00461829343458913"
"39","VW_diffPosNegRel_Ranks_beme_spread","0.19720063884607","0.0969042664766662","2.03500471151654","0.0434804864737016"
"40","","","","",""
"41","VW_ret_Ranks_beme_10 - VW_ret_HML_All","R2-multiple","0.0251874317940511","R2-adjusted","0.0193150669253406"
"42","(Intercept)","0.0167014287429352","0.00525903935377865","3.17575656301851","0.00178192307517643"
"43","VW_sentClasRel_Ranks_beme_spread","0.120681496077455","0.0582713738739543","2.07102541186859","0.0399039939652066"
"44","","","","",""
"45","VW_ret_Ranks_beme_10 - VW_ret_HML_All","R2-multiple","0.0263518496343113","R2-adjusted","0.0204864993309035"
"46","(Intercept)","0.0180136173035091","0.00564398029774612","3.19165134412371","0.00169212005910645"
"47","VW_diffPosNegRel_Ranks_beme_spread","0.216383813211743","0.102086001931718","2.11962276039054","0.0355247382677757"
"48","","","","",""
"49","VW_ret_Ranks_beme_10 - VW_ret_HML_All","R2-multiple","0.0423762881743569","R2-adjusted","0.0366074706332385"
"50","(Intercept)","0.0182403168209202","0.0050305418770881","3.625914914653","0.000382710958755264"
"51","VW_sentClas_Ranks_beme_spread","0.107429191695952","0.0396373172760594","2.71030430610999","0.00742849682676441"
"52","","","","",""
"53","VW_ret_Ranks_beme_10 - VW_ret_HML_All","R2-multiple","0.0459934440597669","R2-adjusted","0.0402464166143437"
"54","(Intercept)","0.019866124228474","0.00532580985373886","3.73016025244076","0.000262351192872283"
"55","VW_diffPosNeg_Ranks_beme_spread","0.192733777982153","0.0681289199987717","2.82895689503999","0.00524591483888619"
"56","","","","",""
"57","VW_ret_Ranks_beme_10","R2-multiple","0.637136287033969","R2-adjusted","0.634950361052246"
"58","(Intercept)","0.00212345178484553","0.00367298365000349","0.578127208609685","0.563961687463314"
"59","VW_ret_HML_All","1.51982232203244","0.0890213907258682","17.0725519972224","2.22008429084644e-38"
"60","","","","",""
"61","VW_ret_Ranks_beme_10","R2-multiple","0.647096469624177","R2-adjusted","0.642818851074167"
"62","(Intercept)","0.0104861338323532","0.00531201101685635","1.97404218460354","0.050046288942075"
"63","VW_ret_HML_All","1.51453156939431","0.0880908794156816","17.1928306249228","1.27680340848739e-38"
"64","VW_diffPosNegRel_Ranks_beme_spread","0.201225354270417","0.0932470454623541","2.1579810199097","0.032375292530862"
"65","","","","",""
"66","VW_ret_Ranks_beme_10","R2-multiple","0.701067398183903","R2-adjusted","0.693731628814182"
"67","(Intercept)","-0.00208366494678001","0.00350848130996894","-0.593893700063192","0.553406520578814"
"68","VW_ret_HML_All","1.32180778129038","0.0933574589224168","14.1585664021645","3.45036694097103e-30"
"69","VW_ret_Ranks_momentum_spread","-0.112758300608462","0.0292774198382141","-3.85137424102124","0.000168496874769546"
"70","VW_ret_Inv_spread","-0.64617058791626","0.194877356874807","-3.31578074681798","0.00112655573595217"
"71","VW_ret_OP_Prof_spread","-0.496012891976385","0.135703942272794","-3.65511040924141","0.000346350270428256"
"72","","","","",""
"73","VW_ret_Ranks_beme_10","R2-multiple","0.706958903834359","R2-adjusted","0.697914425557642"
"74","(Intercept)","0.0044286362463289","0.00501624185089443","0.882859395134477","0.378620445725291"
"75","VW_ret_HML_All","1.32266074172043","0.092718966836115","14.2652661785834","1.98902196941176e-30"
"76","VW_ret_Ranks_momentum_spread","-0.106903233391351","0.0292572457287134","-3.65390626248988","0.000348462924192561"
"77","VW_ret_Inv_spread","-0.630550772709866","0.193735460280234","-3.25469984585057","0.00138199061047451"
"78","VW_ret_OP_Prof_spread","-0.494801123774199","0.134775754877341","-3.67129180040221","0.000327297512070907"
"79","VW_diffPosNegRel_Ranks_beme_spread","0.155885923451075","0.0863774758067099","1.80470570591698","0.0729780463564919"
"80","","","","",""
"81","VW_ret_Ranks_beme_1 - VW_ret_HML_All","R2-multiple","0.0152455779805234","R2-adjusted","0.0093133224261891"
"82","(Intercept)","-0.00209448661356642","0.00164982743863547","-1.26951859601675","0.206033057766849"
"83","VW_sentClasRel_Ranks_beme_spread","-0.0293055165059585","0.0182804700701014","-1.60310519333357","0.110812478529466"
"84","","","","",""
"85","VW_ret_Ranks_beme_1 - VW_ret_HML_All","R2-multiple","0.019170522989874","R2-adjusted","0.0132619116825839"
"86","(Intercept)","-0.002621648070828","0.00176811257817012","-1.48273820524553","0.140039974868516"
"87","VW_diffPosNegRel_Ranks_beme_spread","-0.0576056246245266","0.0319808954936734","-1.80125114495066","0.0734782769880781"
"88","","","","",""
"89","VW_ret_Ranks_beme_1 - VW_ret_HML_All","R2-multiple","0.0283877409177457","R2-adjusted","0.0225346550196597"
"90","(Intercept)","-0.00258367655655426","0.00158158489134841","-1.63359966998136","0.104238137956541"
