"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_Ranks_momentum_spread","R2-multiple","0.00257358283158674","R2-adjusted","-0.0034350100429219"
"2","(Intercept)","-0.021834992454692","0.0133578303546749","-1.63462118285177","0.104023440424703"
"3","VW_diffPosNegRel_Ranks_momentum_spread","0.129525685225553","0.197912494339538","0.654459364264992","0.513721625518692"
"4","","","","",""
"5","VW_ret_Ranks_momentum_spread","R2-multiple","0.00452473881363176","R2-adjusted","-0.00147210010917775"
"6","(Intercept)","-0.0238981631478612","0.0132916028885278","-1.79798955387752","0.0739959222323447"
"7","VW_sentClasRel_Ranks_momentum_spread","0.105287341075333","0.121210597621382","0.868631482242269","0.386302834926172"
"8","","","","",""
"9","VW_ret_Ranks_momentum_spread","R2-multiple","0.00257358283158674","R2-adjusted","-0.0034350100429219"
"10","(Intercept)","-0.021834992454692","0.0133578303546749","-1.63462118285177","0.104023440424703"
"11","VW_diffPosNegRel_Ranks_momentum_spread","0.129525685225553","0.197912494339538","0.654459364264992","0.513721625518692"
"12","","","","",""
"13","VW_ret_Ranks_momentum_spread","R2-multiple","0.00802933280545969","R2-adjusted","0.00205360589464909"
"14","(Intercept)","-0.0269997693787388","0.0134299412568992","-2.01041604443865","0.0460062237450177"
"15","VW_sentClas_Ranks_momentum_spread","0.103069514356388","0.0889172190116755","1.1591625952995","0.248054617516036"
"16","","","","",""
"17","VW_ret_Ranks_momentum_spread","R2-multiple","0.0995533551122727","R2-adjusted","0.0941289777334309"
"18","(Intercept)","-0.0028608045218912","0.00894071852631529","-0.319974788767924","0.749389817841476"
"19","VW_ret_HML_All","-0.928326620929907","0.216694456916618","-4.28403492243975","3.09985153674457e-05"
"20","","","","",""
"21","VW_ret_Ranks_momentum_spread","R2-multiple","0.114608167575453","R2-adjusted","0.103876145364246"
"22","(Intercept)","-0.0179126595161955","0.0126423449706964","-1.41687792555219","0.158403949155185"
"23","VW_ret_HML_All","-0.990611836534261","0.218709839810301","-4.5293427922286","1.12976519259709e-05"
"24","VW_sentClasRel_Ranks_momentum_spread","0.194888745684793","0.116352272258946","1.67498873808895","0.095830647454343"
"25","","","","",""
"26","VW_ret_Ranks_momentum_spread","R2-multiple","0.224865175880973","R2-adjusted","0.205843462405659"
"27","(Intercept)","-0.00925152484609785","0.00876106914666243","-1.05598126110239","0.292539380465644"
"28","VW_ret_HML_All","-0.627049048537806","0.233093405932617","-2.69011920791562","0.00788640527485853"
"29","VW_ret_OP_Prof_spread","-0.618357776580532","0.342159776588932","-1.8072193720287","0.0725721463397228"
"30","VW_ret_HML_spread","-1.56960788797239","0.311288124800516","-5.04229928134346","1.21384149249144e-06"
"31","VW_ret_Inv_spread","-0.45283675830937","0.494647514407832","-0.915473635506861","0.361295390487206"
"32","","","","",""
"33","VW_ret_Ranks_momentum_spread","R2-multiple","0.232349198710034","R2-adjusted","0.208656272744294"
"34","(Intercept)","-0.0203702754484864","0.0124402539984362","-1.63744851600675","0.103477792262558"
"35","VW_ret_HML_All","-0.696440808322395","0.239142007087754","-2.91224790158608","0.00409484675436488"
"36","VW_ret_OP_Prof_spread","-0.665170944202445","0.343578529353965","-1.93600847367609","0.0546075340932734"
"37","VW_ret_HML_spread","-1.51751333839496","0.313489048872868","-4.84072200879455","2.99662024230043e-06"
"38","VW_ret_Inv_spread","-0.48744984226221","0.494538286010997","-0.985666542006357","0.32576660777828"
"39","VW_sentClasRel_Ranks_momentum_spread","0.140149879269814","0.111519168522804","1.25673353851411","0.210659179618454"
"40","","","","",""
"41","VW_ret_Ranks_momentum_10 - VW_ret_HML_All","R2-multiple","0.00292203622897557","R2-adjusted","-0.00308445752868125"
"42","(Intercept)","0.00558990978480933","0.00429868381640345","1.30037705110542","0.19527425616503"
"43","VW_diffPosNegRel_Ranks_momentum_spread","0.0444227125720284","0.0636902261738685","0.697480841891791","0.486477653623387"
"44","","","","",""
"45","VW_ret_Ranks_momentum_10 - VW_ret_HML_All","R2-multiple","0.00543654687407282","R2-adjusted","-0.000554799229095515"
"46","(Intercept)","0.00479781499030768","0.00427615877879419","1.1219917777844","0.263486241089117"
"47","VW_sentClasRel_Ranks_momentum_spread","0.0371463735758588","0.0389957302703447","0.95257540552094","0.342190213590211"
"48","","","","",""
"49","VW_ret_Ranks_momentum_10 - VW_ret_HML_All","R2-multiple","0.00292203622897557","R2-adjusted","-0.00308445752868125"
"50","(Intercept)","0.00558990978480933","0.00429868381640345","1.30037705110542","0.19527425616503"
"51","VW_diffPosNegRel_Ranks_momentum_spread","0.0444227125720284","0.0636902261738685","0.697480841891791","0.486477653623387"
"52","","","","",""
"53","VW_ret_Ranks_momentum_10 - VW_ret_HML_All","R2-multiple","0.00186338777236697","R2-adjusted","-0.00414948338563081"
"54","(Intercept)","0.00601423454571819","0.00433605861086462","1.38702796374769","0.167292803921136"
"55","VW_sentClas_Ranks_momentum_spread","0.0159815012735203","0.0287082620671663","0.556686477089061","0.578491375305702"
"56","","","","",""
"57","VW_ret_Ranks_momentum_10","R2-multiple","0.579980422998357","R2-adjusted","0.577450184582684"
"58","(Intercept)","0.00640613008784359","0.00301362745416897","2.1257206424044","0.0350055954320093"
"59","VW_ret_HML_All","1.10583641690592","0.0730407027811096","15.1400024205671","4.35555933306291e-33"
"60","","","","",""
"61","VW_ret_Ranks_momentum_10","R2-multiple","0.581292437918373","R2-adjusted","0.576217194741626"
"62","(Intercept)","0.00421315799841644","0.00429068517642332","0.981931282576295","0.327571304292491"
"63","VW_ret_HML_All","1.09676180520816","0.0742279276342421","14.7755951184903","5.14755951356611e-32"
"64","VW_sentClasRel_Ranks_momentum_spread","0.0283942132044151","0.0394887950757389","0.719044811318133","0.473130409297912"
"65","","","","",""
"66","VW_ret_Ranks_momentum_10","R2-multiple","0.692320011986518","R2-adjusted","0.684769582832813"
"67","(Intercept)","0.000347688028864335","0.00272414032631908","0.127632202168579","0.898597369388012"
"68","VW_ret_HML_All","1.01963646894279","0.0724773582162633","14.0683448464046","6.13707592251102e-30"
"69","VW_ret_OP_Prof_spread","-0.777139316280873","0.1063901254341","-7.30461885546181","1.170167963723e-11"
"70","VW_ret_HML_spread","-0.35976896126931","0.0967909874557239","-3.71696756822408","0.000276813919639563"
"71","VW_ret_Inv_spread","-0.227602965256197","0.153804201148807","-1.47982281079559","0.140850685922683"
"72","","","","",""
"73","VW_ret_Ranks_momentum_10","R2-multiple","0.695286690515099","R2-adjusted","0.685881958740874"
"74","(Intercept)","-0.00310720852222196","0.0038681603813801","-0.803278100147789","0.422991026176424"
"75","VW_ret_HML_All","0.998074572275903","0.0743585812200337","13.4224531439419","4.27920876409195e-28"
"76","VW_ret_OP_Prof_spread","-0.791685433659171","0.106831971059989","-7.41056657294679","6.58160664563479e-12"
"77","VW_ret_HML_spread","-0.343581775667107","0.0974759775000564","-3.52478410044063","0.000551168059519123"
"78","VW_ret_Inv_spread","-0.238358186651795","0.153771249788294","-1.55008291198749","0.123072994138778"
"79","VW_sentClasRel_Ranks_momentum_spread","0.0435483582499299","0.0346756609228866","1.25587680496631","0.210968882305074"
"80","","","","",""
"81","VW_ret_Ranks_momentum_1 - VW_ret_HML_All","R2-multiple","0.00152230376132048","R2-adjusted","-0.00449262211963553"
"82","(Intercept)","0.0274249022395014","0.0114175236893585","2.4020009054207","0.0174096669798973"
"83","VW_diffPosNegRel_Ranks_momentum_spread","-0.0851029726535245","0.169164492476944","-0.503078225267181","0.615576118333677"
"84","","","","",""
"85","VW_ret_Ranks_momentum_1 - VW_ret_HML_All","R2-multiple","0.00259682866258184","R2-adjusted","-0.0034116241768003"
"86","(Intercept)","0.0286959781381689","0.0113659238206231","2.52473785598502","0.0125164088769838"
"87","VW_sentClasRel_Ranks_momentum_spread","-0.0681409674994738","0.103649682462746","-0.657416075770084","0.511823936204876"
"88","","","","",""
"89","VW_ret_Ranks_momentum_1 - VW_ret_HML_All","R2-multiple","0.00152230376132048","R2-adjusted","-0.00449262211963553"
"90","(Intercept)","0.0274249022395014","0.0114175236893585","2.4020009054207","0.0174096669798973"
"91","VW_diffPosNegRel_Ranks_momentum_spread","-0.0851029726535245","0.169164492476944","-0.503078225267181","0.615576118333677"
"92","","","","",""
"93","VW_ret_Ranks_momentum_1 - VW_ret_HML_All","R2-multiple","0.00785454930688829","R2-adjusted","0.00187776948343576"
"94","(Intercept)","0.033014003924457","0.0114741260770451","2.87725650762233","0.00453884745186785"
"95","VW_sentClas_Ranks_momentum_spread","-0.0870880130828679","0.0759681194313544","-1.14637579203947","0.253289471178823"
"96","","","","",""
"97","VW_ret_Ranks_momentum_1","R2-multiple","0.440848077614613","R2-adjusted","0.437479692540002"
"98","(Intercept)","0.00926693460973479","0.00733629473102129","1.26316280213632","0.208301973860752"
"99","VW_ret_HML_All","2.03416303783583","0.177808349277502","11.4401997774646","1.02528084062343e-22"
"100","","","","",""
"101","VW_ret_Ranks_momentum_1","R2-multiple","0.450981704824737","R2-adjusted","0.444326937610491"
"102","(Intercept)","0.022125817514612","0.0103662509542604","2.13440882458268","0.0342861640059279"
"103","VW_ret_HML_All","2.08737364174242","0.179333904500691","11.6395929010422","3.05509093884679e-23"
"104","VW_sentClasRel_Ranks_momentum_spread","-0.166494532480378","0.0954045199787186","-1.74514302380555","0.082821666277528"
"105","","","","",""
"106","VW_ret_Ranks_momentum_1","R2-multiple","0.513139053078193","R2-adjusted","0.501191545178271"
"107","(Intercept)","0.00959921287496219","0.00723001806284547","1.32768864358608","0.186137353199455"
"108","VW_ret_HML_All","1.6466855174806","0.192358889881037","8.56048565521965","7.98786898844449e-15"
"109","VW_ret_OP_Prof_spread","-0.158781539700341","0.282365236902572","-0.56232679858933","0.574665890766184"
"110","VW_ret_HML_spread","1.20983892670308","0.256888597428136","4.70958594042515","5.28148562566217e-06"
"111","VW_ret_Inv_spread","0.225233793053172","0.408204798300519","0.551766647503628","0.581863906049991"
"112","","","","",""
"113","VW_ret_Ranks_momentum_1","R2-multiple","0.516418349830791","R2-adjusted","0.501492990257667"
"114","(Intercept)","0.0172630669262645","0.0102813638598625","1.67906390256821","0.0950673295193781"
"115","VW_ret_HML_All","1.6945153805983","0.197641140555175","8.57369764128255","7.61915642695533e-15"
"116","VW_ret_OP_Prof_spread","-0.126514489456727","0.28395367772785","-0.445546225951622","0.656519895519745"
"117","VW_ret_HML_spread","1.17393156272785","0.259085946151045","4.5310507195302","1.13419063317971e-05"
"118","VW_ret_Inv_spread","0.249091655610414","0.408715775558195","0.609449574756987","0.543080289288912"
"119","VW_sentClasRel_Ranks_momentum_spread","-0.0966015210198843","0.0921660561815212","-1.0481247112237","0.296142353933635"
"120","","","","",""
