"","term","estimate","std.error","statistic","p.value"
"1","VW_ret_Ranks_momentum_spread","R2-multiple","0.00802933280545969","R2-adjusted","0.00205360589464909"
"2","(Intercept)","-0.0269997693787388","0.0134299412568992","-2.01041604443865","0.0460062237450177"
"3","VW_sentClas_Ranks_momentum_spread","0.103069514356388","0.0889172190116755","1.1591625952995","0.248054617516036"
"4","","","","",""
"5","VW_ret_Ranks_momentum_spread","R2-multiple","0.00578902528259817","R2-adjusted","-0.000200197456663442"
"6","(Intercept)","-0.0257285868784638","0.0138246281136325","-1.86106900431505","0.0645028776003581"
"7","VW_diffPosNeg_Ranks_momentum_spread","0.145762026583445","0.148260993867693","0.983144809574945","0.326966921230558"
"8","","","","",""
"9","VW_ret_Ranks_momentum_spread","R2-multiple","0.00452473881363176","R2-adjusted","-0.00147210010917775"
"10","(Intercept)","-0.0238981631478612","0.0132916028885278","-1.79798955387752","0.0739959222323447"
"11","VW_sentClasRel_Ranks_momentum_spread","0.105287341075333","0.121210597621382","0.868631482242269","0.386302834926172"
"12","","","","",""
"13","VW_ret_Ranks_momentum_spread","R2-multiple","0.00257358283158674","R2-adjusted","-0.0034350100429219"
"14","(Intercept)","-0.021834992454692","0.0133578303546749","-1.63462118285177","0.104023440424703"
"15","VW_diffPosNegRel_Ranks_momentum_spread","0.129525685225553","0.197912494339538","0.654459364264992","0.513721625518692"
"16","","","","",""
"17","VW_ret_Ranks_momentum_spread","R2-multiple","0.0995533551122727","R2-adjusted","0.0941289777334309"
"18","(Intercept)","-0.0028608045218912","0.00894071852631529","-0.319974788767924","0.749389817841476"
"19","VW_ret_HML_All","-0.928326620929907","0.216694456916618","-4.28403492243975","3.09985153674457e-05"
"20","","","","",""
"21","VW_ret_Ranks_momentum_spread","R2-multiple","0.115721416908542","R2-adjusted","0.105002888628645"
"22","(Intercept)","-0.0196847631696488","0.0131452906981731","-1.49747644396975","0.136179881129292"
"23","VW_ret_HML_All","-0.987747037103115","0.218089862506594","-4.52908276318093","1.13100185472383e-05"
